name	state	pop	statePop	flower	momID
ALBRE_16f	AL	BRE	ALBRE	F	BRE16
ALBRE_1f	AL	BRE	ALBRE	F	BRE1
ALBRE_4f	AL	BRE	ALBRE	F	BRE4
ALBRU_1f	AL	BRU	ALBRU	F	BRU1
ALBRU_5f	AL	BRU	ALBRU	F	BRU5
ALBRU_6f	AL	BRU	ALBRU	F	BRU6
ALBRU_8m_B	AL	BRU	ALBRU	M	BRU8
FLJAS_12f	FL	JAS	FLJAS	F	JAS12
FLJAS_13m	FL	JAS	FLJAS	M	JAS13
FLJAS_1f	FL	JAS	FLJAS	F	JAS1
FLJAS_2f	FL	JAS	FLJAS	F	JAS2
FLMAR_14m	FL	MAR	FLMAR	M	MAR14
FLMAR_15f	FL	MAR	FLMAR	F	MAR15
FLMAR_1f_A	FL	MAR	FLMAR	F	MAR1
FLMAR_6m	FL	MAR	FLMAR	M	MAR6
GABEL_13f	GA	BEL	GABEL	F	BEL13
GABEL_1f	GA	BEL	GABEL	F	BEL1
GABEL_9m_B	GA	BEL	GABEL	M	BEL9
GAGLA_10m	GA	GLA	GAGLA	M	GLA10
GAGLA_23f	GA	GLA	GAGLA	F	GLA23
GAGLA_24f	GA	GLA	GAGLA	F	GLA24
GAGLA_3f	GA	GLA	GAGLA	F	GLA3
GAGLA_4f	GA	GLA	GAGLA	F	GLA4
GAGLA_9f	GA	GLA	GAGLA	F	GLA9
GASTA_1f	GA	STA	GASTA	U	STA1
GASTA_5f	GA	STA	GASTA	F	STA5
GASTA_7m	GA	STA	GASTA	M	STA7
GASTA_8f	GA	STA	GASTA	U	STA8
GASTA_9f	GA	STA	GASTA	F	STA9
LABEN_14m	LA	BEN	LABEN	M	BEN14
LABEN_5m	LA	BEN	LABEN	M	BEN5
LABEN_9f	LA	BEN	LABEN	F	BEN9
NCBAT_14f	NC	BAT	NCBAT	F	BAT14
NCBAT_1f	NC	BAT	NCBAT	F	BAT1
NCBAT_4m	NC	BAT	NCBAT	M	BAT4
NCELI_1f	NC	ELI	NCELI	F	ELI1
NCELI_3m	NC	ELI	NCELI	M	ELI3
NCELI_5m	NC	ELI	NCELI	M	ELI5
NCELI_6f	NC	ELI	NCELI	F	ELI6
NCELI_7f	NC	ELI	NCELI	F	ELI7
NCELI_8f	NC	ELI	NCELI	F	ELI8
NCROS_3f	NC	ROS	NCROS	F	ROS3
NCROS_4f	NC	ROS	NCROS	F	ROS4
NCROS_7m	NC	ROS	NCROS	M	ROS7
NCROS_9m	NC	ROS	NCROS	M	ROS9
OKBAC_10f	OK	BAC	OKBAC	F	BAC10
OKBAC_11f	OK	BAC	OKBAC	F	BAC11
OKBAC_15m	OK	BAC	OKBAC	M	BAC15
OKBAC_22f	OK	BAC	OKBAC	F	BAC22
OKBAC_24f	OK	BAC	OKBAC	F	BAC24
OKBAC_8f	OK	BAC	OKBAC	F	BAC8
OKRAT_14f	OK	RAT	OKRAT	F	RAT14
OKRAT_17m	OK	RAT	OKRAT	M	RAT17
OKRAT_19f	OK	RAT	OKRAT	F	RAT19
OKRAT_20m	OK	RAT	OKRAT	M	RAT20
OKRAT_28f	OK	RAT	OKRAT	F	RAT28
OKRAT_8f	OK	RAT	OKRAT	F	RAT8
ARCA11.F	LA	ARCA	LAARCA	F	ARCA11
ARCA12.M	LA	ARCA	LAARCA	M	ARCA12
ARCA13.F	LA	ARCA	LAARCA	F	ARCA13
ARCA14.2U	LA	ARCA	LAARCA	M	ARCA14
ARCA14.M	LA	ARCA	LAARCA	M	ARCA14
ARCA2.M	LA	ARCA	LAARCA	M	ARCA2
ARCA3.F	LA	ARCA	LAARCA	F	ARCA3
ARCA4.M	LA	ARCA	LAARCA	M	ARCA4
ARCA6.F	LA	ARCA	LAARCA	F	ARCA6
ARCA8.M	LA	ARCA	LAARCA	M	ARCA8
BRAN6.M	MS	BRAN	MSBRAN	M	BRAN6
BIEN12.F	LA	BIEN	LABIEN	F	BIEN12
BIEN15.M	LA	BIEN	LABIEN	M	BIEN15
BIEN21.F	LA	BIEN	LABIEN	F	BIEN21
BIEN22.M	LA	BIEN	LABIEN	M	BIEN22
BIEN4.F	LA	BIEN	LABIEN	F	BIEN4
BIEN7.M	LA	BIEN	LABIEN	M	BIEN7
BRAN16.M	MS	BRAN	MSBRAN	M	BRAN16
BRAN4.M	MS	BRAN	MSBRAN	M	BRAN4
BUCK17.M	AR	BUCK	ARBUCK	M	BUCK17
BUCK19.M	AR	BUCK	ARBUCK	M	BUCK19
BUCK20.F	AR	BUCK	ARBUCK	F	BUCK20
BUCK21.M	AR	BUCK	ARBUCK	M	BUCK21
BUCK23.M	AR	BUCK	ARBUCK	M	BUCK23
BUCK2.F	AR	BUCK	ARBUCK	F	BUCK2
